pollutant,run,level,participant_id,replicate,sample_group,mean_value,sd_value
so2,corrida_2,100-nmol/mol,part_2,3,21-30,99.62614366,0.564085001
so2,corrida_2,100-nmol/mol,part_3,4,1-10,99.26042804,0.5571120432
so2,corrida_2,100-nmol/mol,part_3,4,11-20,99.40622124,0.5840162039
so2,corrida_2,100-nmol/mol,part_3,4,21-30,99.50325843,0.6085277972
so2,corrida_2,100-nmol/mol,ref,1,1-10,99.40877876,0.5610362354
so2,corrida_2,100-nmol/mol,ref,1,11-20,99.18625067,0.4513658613
so2,corrida_2,100-nmol/mol,ref,1,21-30,99.72972846,0.5292132226
so2,corrida_3,140-nmol/mol,part_1,2,1-10,139.0052577,0.4870337603
so2,corrida_3,140-nmol/mol,part_1,2,11-20,139.0125055,0.4691890872
so2,corrida_3,140-nmol/mol,part_1,2,21-30,139.0314697,0.4717253159
so2,corrida_3,140-nmol/mol,part_2,3,1-10,139.0053326,0.4999894561
so2,corrida_3,140-nmol/mol,part_2,3,11-20,138.9346984,0.4753869194
so2,corrida_3,140-nmol/mol,part_2,3,21-30,138.7989009,0.4327310219
so2,corrida_3,140-nmol/mol,part_3,4,1-10,138.9849296,0.4937692753
so2,corrida_3,140-nmol/mol,part_3,4,11-20,139.2221426,0.4726320187
so2,corrida_3,140-nmol/mol,part_3,4,21-30,138.9983081,0.5160329237
so2,corrida_3,140-nmol/mol,ref,1,1-10,139.0728245,0.5292541067
so2,corrida_3,140-nmol/mol,ref,1,11-20,139.1151014,0.553555703
so2,corrida_3,140-nmol/mol,ref,1,21-30,139.2717319,0.4184736077
so2,corrida_4,180-nmol/mol,part_1,2,1-10,180.6249616,0.48251525
so2,corrida_4,180-nmol/mol,part_1,2,11-20,180.653005,0.4836138353
so2,corrida_4,180-nmol/mol,part_1,2,21-30,180.4017559,0.3115583935
so2,corrida_4,180-nmol/mol,part_2,3,1-10,180.2026091,0.3177184276
so2,corrida_4,180-nmol/mol,part_2,3,11-20,180.505533,0.384461908
so2,corrida_4,180-nmol/mol,part_2,3,21-30,180.6690766,0.4261440017
so2,corrida_4,180-nmol/mol,part_3,4,1-10,180.7652862,0.3955510225
so2,corrida_4,180-nmol/mol,part_3,4,11-20,180.5466078,0.4425763429
so2,corrida_4,180-nmol/mol,part_3,4,21-30,180.3537464,0.3682662851
so2,corrida_4,180-nmol/mol,ref,1,1-10,180.4412108,0.3522248591
so2,corrida_4,180-nmol/mol,ref,1,11-20,180.3983834,0.3694198644
so2,corrida_4,180-nmol/mol,ref,1,21-30,180.7557699,0.3775441519
so2,corrida_5,20-nmol/mol,part_1,2,1-10,19.73129412,0.04614538315
so2,corrida_5,20-nmol/mol,part_1,2,11-20,19.70635294,0.05271323478
so2,corrida_5,20-nmol/mol,part_1,2,21-30,19.74105882,0.03301322653
so2,corrida_5,20-nmol/mol,part_2,3,1-10,19.73047059,0.03796617204
so2,corrida_5,20-nmol/mol,part_2,3,11-20,19.73047059,0.04287782954
so2,corrida_5,20-nmol/mol,part_2,3,21-30,19.71552941,0.03899072732
so2,corrida_5,20-nmol/mol,part_3,4,1-10,19.742,0.04428439078
so2,corrida_5,20-nmol/mol,part_3,4,11-20,19.71188235,0.0445868729
so2,corrida_5,20-nmol/mol,part_3,4,21-30,19.728,0.06208426514
so2,corrida_5,20-nmol/mol,ref,1,1-10,19.73835294,0.04502876179
so2,corrida_5,20-nmol/mol,ref,1,11-20,19.74,0.03141174023
so2,corrida_5,20-nmol/mol,ref,1,21-30,19.71458824,0.05730376642
